GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMPWE001,AMPWE002,AMPWE003,AMPWE004,AMPWE005,AMPWE006,AMPWE007,AMPWE008,AMPWE009,AMPWE010,AMR8E001,AMVZE001,NAME_M,AMPWM001,AMPWM002,AMPWM003,AMPWM004,AMPWM005,AMPWM006,AMPWM007,AMPWM008,AMPWM009,AMPWM010,AMR8M001,AMVZM001
"G4200010030101","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030101",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030101",,,"Census Tract 301.01, Adams County, Pennsylvania",2697,2436,35,0,2,0,71,153,40,113,71157,1017,"Census Tract 301.01, Adams County, Pennsylvania",23,163,54,11,4,11,66,122,52,93,11166,444
"G4200010030103","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030103",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030103",,,"Census Tract 301.03, Adams County, Pennsylvania",2347,2336,0,0,0,0,0,11,0,11,97922,,"Census Tract 301.03, Adams County, Pennsylvania",335,338,11,11,11,11,11,18,11,18,5760,
"G4200010030104","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030104",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030104",,,"Census Tract 301.04, Adams County, Pennsylvania",3526,3415,31,0,0,0,0,80,0,80,63859,977,"Census Tract 301.04, Adams County, Pennsylvania",336,377,50,11,11,11,11,89,11,89,12727,243
"G4200010030200","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030200",,,"Census Tract 302, Adams County, Pennsylvania",5778,5021,169,12,33,0,487,56,39,17,60625,844,"Census Tract 302, Adams County, Pennsylvania",437,378,198,18,41,15,216,57,55,16,3120,73
"G4200010030300","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030300",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030300",,,"Census Tract 303, Adams County, Pennsylvania",4306,4041,40,0,19,0,166,40,8,32,80529,1033,"Census Tract 303, Adams County, Pennsylvania",225,180,55,11,30,11,135,34,12,31,7587,158
"G4200010030400","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030400",,,"Census Tract 304, Adams County, Pennsylvania",5798,5383,33,0,151,0,198,33,0,33,80150,929,"Census Tract 304, Adams County, Pennsylvania",207,274,34,15,157,15,112,36,15,36,12886,109
"G4200010030500","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030500",,,"Census Tract 305, Adams County, Pennsylvania",3879,3383,57,0,0,0,297,142,44,98,57281,782,"Census Tract 305, Adams County, Pennsylvania",214,241,87,11,11,11,169,69,54,63,7468,64
"G4200010030600","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030600",,,"Census Tract 306, Adams County, Pennsylvania",4946,4683,111,7,7,0,51,87,37,50,66399,788,"Census Tract 306, Adams County, Pennsylvania",37,155,67,12,15,11,63,84,51,66,10703,99
"G4200010030700","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030700",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030700",,,"Census Tract 307, Adams County, Pennsylvania",6479,6209,149,0,4,0,14,103,18,85,76310,970,"Census Tract 307, Adams County, Pennsylvania",243,263,100,15,6,15,21,64,32,59,8195,136
"G4200010030801","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030801",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030801",,,"Census Tract 308.01, Adams County, Pennsylvania",3190,3058,77,0,32,0,9,14,5,9,68182,1033,"Census Tract 308.01, Adams County, Pennsylvania",398,387,83,11,29,11,12,10,7,9,11490,127
"G4200010030802","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030802",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030802",,,"Census Tract 308.02, Adams County, Pennsylvania",1570,1491,27,0,3,0,6,43,23,20,60250,900,"Census Tract 308.02, Adams County, Pennsylvania",145,145,24,11,5,11,11,41,34,17,6058,45
"G4200010030803","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030803",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030803",,,"Census Tract 308.03, Adams County, Pennsylvania",2563,2510,17,1,0,0,35,0,0,0,80667,1196,"Census Tract 308.03, Adams County, Pennsylvania",17,56,29,2,11,11,46,11,11,11,13487,570
"G4200010030901","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030901",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030901",,,"Census Tract 309.01, Adams County, Pennsylvania",3445,3073,123,1,21,0,75,152,2,150,60327,836,"Census Tract 309.01, Adams County, Pennsylvania",448,455,135,3,22,11,48,92,3,92,7669,92
"G4200010030902","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"030902",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030902",,,"Census Tract 309.02, Adams County, Pennsylvania",3904,3778,18,0,0,0,0,108,99,9,56699,1206,"Census Tract 309.02, Adams County, Pennsylvania",429,419,30,11,11,11,11,135,135,12,5964,269
"G4200010031000","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"031000",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031000",,,"Census Tract 310, Adams County, Pennsylvania",1852,1837,0,0,0,0,1,14,0,14,74716,1212,"Census Tract 310, Adams County, Pennsylvania",211,210,11,11,11,11,2,22,11,22,10813,477
"G4200010031101","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"031101",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031101",,,"Census Tract 311.01, Adams County, Pennsylvania",5114,4791,30,0,45,0,177,71,0,71,51393,890,"Census Tract 311.01, Adams County, Pennsylvania",307,296,46,15,61,15,178,59,15,59,10369,67
"G4200010031102","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"031102",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031102",,,"Census Tract 311.02, Adams County, Pennsylvania",3319,2989,117,30,0,0,0,183,24,159,86851,884,"Census Tract 311.02, Adams County, Pennsylvania",262,252,104,46,11,11,11,148,36,120,4967,82
"G4200010031201","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"031201",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031201",,,"Census Tract 312.01, Adams County, Pennsylvania",3724,3489,96,0,17,0,46,76,0,76,86729,1419,"Census Tract 312.01, Adams County, Pennsylvania",20,123,73,11,24,11,48,59,11,59,17518,105
"G4200010031202","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"031202",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031202",,,"Census Tract 312.02, Adams County, Pennsylvania",2723,2503,0,5,4,0,118,93,0,93,83857,785,"Census Tract 312.02, Adams County, Pennsylvania",45,160,11,8,7,11,133,59,11,59,5113,160
"G4200010031203","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"031203",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031203",,,"Census Tract 312.03, Adams County, Pennsylvania",3190,3126,30,6,10,0,3,15,0,15,76694,1268,"Census Tract 312.03, Adams County, Pennsylvania",23,54,42,9,14,11,5,20,11,20,10366,200
"G4200010031300","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"031300",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031300",,,"Census Tract 313, Adams County, Pennsylvania",4494,4142,84,0,1,0,152,115,34,81,61691,963,"Census Tract 313, Adams County, Pennsylvania",18,214,102,11,2,11,204,88,54,66,11965,116
"G4200010031401","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"031401",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031401",,,"Census Tract 314.01, Adams County, Pennsylvania",4174,3678,69,7,127,0,4,289,23,266,86188,798,"Census Tract 314.01, Adams County, Pennsylvania",219,236,57,11,44,11,7,156,35,153,11582,181
"G4200010031402","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"031402",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031402",,,"Census Tract 314.02, Adams County, Pennsylvania",2055,1794,36,0,99,0,10,116,69,47,73945,1099,"Census Tract 314.02, Adams County, Pennsylvania",215,223,34,11,100,11,16,121,106,41,15266,344
"G4200010031501","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"031501",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031501",,,"Census Tract 315.01, Adams County, Pennsylvania",3533,3161,128,0,85,0,47,112,30,82,51250,880,"Census Tract 315.01, Adams County, Pennsylvania",317,309,63,11,37,11,28,116,22,114,9454,137
"G4200010031502","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"031502",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031502",,,"Census Tract 315.02, Adams County, Pennsylvania",4151,3538,122,47,55,0,325,64,13,51,38415,889,"Census Tract 315.02, Adams County, Pennsylvania",315,341,83,59,39,11,193,56,23,52,6064,80
"G4200010031600","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"031600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031600",,,"Census Tract 316, Adams County, Pennsylvania",7208,6836,13,38,0,0,2,319,108,211,77823,917,"Census Tract 316, Adams County, Pennsylvania",328,371,17,32,15,15,3,165,103,133,9331,134
"G4200010031700","2016-2020","PA",,,"Pennsylvania","42","Adams County","001",,,"031700",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031700",,,"Census Tract 317, Adams County, Pennsylvania",2662,2537,21,0,9,0,7,88,51,37,59167,1068,"Census Tract 317, Adams County, Pennsylvania",292,322,29,11,14,11,10,78,69,33,6781,224
"G4200030010301","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"010301",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003010301",,,"Census Tract 103.01, Allegheny County, Pennsylvania",2477,901,1391,27,0,0,13,145,28,117,,,"Census Tract 103.01, Allegheny County, Pennsylvania",488,233,222,23,11,11,25,87,49,54,,
"G4200030010302","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"010302",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003010302",,,"Census Tract 103.02, Allegheny County, Pennsylvania",4101,3138,501,6,252,0,22,182,23,159,39531,1289,"Census Tract 103.02, Allegheny County, Pennsylvania",368,286,160,10,97,11,25,67,24,65,26551,678
"G4200030020100","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"020100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003020100",,,"Census Tract 201, Allegheny County, Pennsylvania",4654,3424,514,11,555,0,0,150,41,109,102957,1451,"Census Tract 201, Allegheny County, Pennsylvania",486,376,179,14,224,11,11,92,63,64,9508,83
"G4200030020300","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"020300",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003020300",,,"Census Tract 203, Allegheny County, Pennsylvania",1368,1151,24,0,148,0,1,44,12,32,105278,1832,"Census Tract 203, Allegheny County, Pennsylvania",182,191,22,11,80,11,3,40,23,30,17742,113
"G4200030030500","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"030500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003030500",,,"Census Tract 305, Allegheny County, Pennsylvania",2655,742,1596,3,226,0,0,88,8,80,24420,1078,"Census Tract 305, Allegheny County, Pennsylvania",316,178,307,4,140,11,11,53,14,56,6976,116
"G4200030040200","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"040200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003040200",,,"Census Tract 402, Allegheny County, Pennsylvania",1414,725,462,0,167,0,31,29,11,18,20481,951,"Census Tract 402, Allegheny County, Pennsylvania",264,217,151,11,68,11,31,24,18,15,5815,148
"G4200030040400","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"040400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003040400",,,"Census Tract 404, Allegheny County, Pennsylvania",1650,1229,62,0,338,0,0,21,0,21,47803,1104,"Census Tract 404, Allegheny County, Pennsylvania",217,197,55,11,87,11,11,22,11,22,10581,104
"G4200030040500","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"040500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003040500",,,"Census Tract 405, Allegheny County, Pennsylvania",3065,2618,113,10,221,0,27,76,0,76,11586,1118,"Census Tract 405, Allegheny County, Pennsylvania",469,402,88,15,120,11,44,48,11,48,5344,197
"G4200030040600","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"040600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003040600",,,"Census Tract 406, Allegheny County, Pennsylvania",2248,1885,68,0,153,0,0,142,5,137,27500,1137,"Census Tract 406, Allegheny County, Pennsylvania",502,431,55,11,77,11,11,137,8,137,12048,122
"G4200030040900","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"040900",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003040900",,,"Census Tract 409, Allegheny County, Pennsylvania",3838,2786,732,18,178,0,74,50,16,34,17390,1232,"Census Tract 409, Allegheny County, Pennsylvania",476,410,262,17,92,11,61,32,19,26,5015,359
"G4200030050100","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"050100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003050100",,,"Census Tract 501, Allegheny County, Pennsylvania",1569,78,1425,0,23,0,0,43,9,34,29741,679,"Census Tract 501, Allegheny County, Pennsylvania",408,46,400,11,39,11,11,40,14,38,6537,82
"G4200030050600","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"050600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003050600",,,"Census Tract 506, Allegheny County, Pennsylvania",2139,270,1659,0,143,0,0,67,0,67,41528,922,"Census Tract 506, Allegheny County, Pennsylvania",373,118,370,11,81,11,11,65,11,65,13622,287
"G4200030050900","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"050900",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003050900",,,"Census Tract 509, Allegheny County, Pennsylvania",1264,14,1172,0,0,0,45,33,0,33,16551,328,"Census Tract 509, Allegheny County, Pennsylvania",236,18,219,11,11,11,65,26,11,26,2492,94
"G4200030051000","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"051000",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003051000",,,"Census Tract 510, Allegheny County, Pennsylvania",2079,800,1045,0,161,0,9,64,9,55,15241,549,"Census Tract 510, Allegheny County, Pennsylvania",315,182,272,11,114,11,17,49,16,46,3738,231
"G4200030051100","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"051100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003051100",,,"Census Tract 511, Allegheny County, Pennsylvania",566,34,379,0,0,0,0,153,0,153,17974,624,"Census Tract 511, Allegheny County, Pennsylvania",222,42,179,11,11,11,11,130,11,130,4934,137
"G4200030060300","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"060300",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003060300",,,"Census Tract 603, Allegheny County, Pennsylvania",2267,1809,293,0,42,0,48,75,19,56,80952,1156,"Census Tract 603, Allegheny County, Pennsylvania",298,232,164,11,36,11,58,65,21,61,7690,195
"G4200030060500","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"060500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003060500",,,"Census Tract 605, Allegheny County, Pennsylvania",1256,1125,61,0,0,0,3,67,0,67,55833,916,"Census Tract 605, Allegheny County, Pennsylvania",223,203,64,11,11,11,6,47,11,47,18729,120
"G4200030070300","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"070300",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003070300",,,"Census Tract 703, Allegheny County, Pennsylvania",2320,1818,79,23,329,0,0,71,34,37,65132,1264,"Census Tract 703, Allegheny County, Pennsylvania",283,283,86,27,208,11,11,50,37,31,14836,117
"G4200030070500","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"070500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003070500",,,"Census Tract 705, Allegheny County, Pennsylvania",2978,2259,58,0,449,0,150,62,27,35,62409,1212,"Census Tract 705, Allegheny County, Pennsylvania",333,321,42,11,144,11,206,45,39,25,11851,74
"G4200030070600","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"070600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003070600",,,"Census Tract 706, Allegheny County, Pennsylvania",2115,1639,123,0,255,0,57,41,27,14,85000,1180,"Census Tract 706, Allegheny County, Pennsylvania",522,488,129,11,138,11,64,43,41,16,14505,80
"G4200030070800","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"070800",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003070800",,,"Census Tract 708, Allegheny County, Pennsylvania",2531,1785,90,33,458,0,49,116,46,70,81538,1742,"Census Tract 708, Allegheny County, Pennsylvania",305,304,88,24,191,11,42,88,48,75,8953,151
"G4200030070900","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"070900",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003070900",,,"Census Tract 709, Allegheny County, Pennsylvania",4250,2447,296,20,1382,0,0,105,0,105,34072,1078,"Census Tract 709, Allegheny County, Pennsylvania",415,360,175,30,327,11,11,99,11,99,17382,110
"G4200030080200","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"080200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003080200",,,"Census Tract 802, Allegheny County, Pennsylvania",1876,1715,102,4,28,0,15,12,8,4,48409,1047,"Census Tract 802, Allegheny County, Pennsylvania",200,196,76,6,34,11,22,14,12,6,7216,88
"G4200030080400","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"080400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003080400",,,"Census Tract 804, Allegheny County, Pennsylvania",1578,1027,125,0,333,0,0,93,0,93,40391,1023,"Census Tract 804, Allegheny County, Pennsylvania",213,176,78,11,128,11,11,96,11,96,17658,128
"G4200030080600","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"080600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003080600",,,"Census Tract 806, Allegheny County, Pennsylvania",2263,2001,29,0,64,0,139,30,20,10,65133,991,"Census Tract 806, Allegheny County, Pennsylvania",345,345,27,11,48,11,183,35,32,15,11450,94
"G4200030080700","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"080700",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003080700",,,"Census Tract 807, Allegheny County, Pennsylvania",1917,1362,252,0,229,0,1,73,16,57,35833,1041,"Census Tract 807, Allegheny County, Pennsylvania",240,237,155,11,114,11,3,62,33,50,13386,60
"G4200030080900","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"080900",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003080900",,,"Census Tract 809, Allegheny County, Pennsylvania",2010,1669,127,4,119,0,4,87,62,25,51920,935,"Census Tract 809, Allegheny County, Pennsylvania",288,255,66,7,95,11,8,91,91,28,8417,64
"G4200030090100","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"090100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003090100",,,"Census Tract 901, Allegheny County, Pennsylvania",2129,1829,208,0,57,0,14,21,0,21,76739,1470,"Census Tract 901, Allegheny County, Pennsylvania",274,215,241,11,49,11,21,36,11,36,18668,312
"G4200030090200","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"090200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003090200",,,"Census Tract 902, Allegheny County, Pennsylvania",2721,2488,67,0,42,0,37,87,39,48,62679,981,"Census Tract 902, Allegheny County, Pennsylvania",377,347,58,11,29,11,40,64,53,39,19246,197
"G4200030090300","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"090300",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003090300",,,"Census Tract 903, Allegheny County, Pennsylvania",1741,1499,163,7,56,0,16,0,0,0,58875,942,"Census Tract 903, Allegheny County, Pennsylvania",419,410,86,11,50,11,15,11,11,11,12807,59
"G4200030100500","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"100500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003100500",,,"Census Tract 1005, Allegheny County, Pennsylvania",1809,530,1215,0,36,0,16,12,6,6,58098,912,"Census Tract 1005, Allegheny County, Pennsylvania",227,89,210,11,31,11,22,12,9,10,7957,434
"G4200030101100","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"101100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003101100",,,"Census Tract 1011, Allegheny County, Pennsylvania",2635,2083,447,0,52,0,0,53,0,53,59135,1126,"Census Tract 1011, Allegheny County, Pennsylvania",409,398,242,11,48,11,11,42,11,42,4882,150
"G4200030101400","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003101400",,,"Census Tract 1014, Allegheny County, Pennsylvania",3152,2879,100,14,38,0,24,97,67,30,67083,1023,"Census Tract 1014, Allegheny County, Pennsylvania",449,437,73,23,37,11,37,106,98,33,10782,100
"G4200030101800","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"101800",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003101800",,,"Census Tract 1018, Allegheny County, Pennsylvania",2632,2016,512,0,9,0,20,75,0,75,69352,1097,"Census Tract 1018, Allegheny County, Pennsylvania",348,284,172,11,15,11,23,74,11,74,13951,65
"G4200030101900","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"101900",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003101900",,,"Census Tract 1019, Allegheny County, Pennsylvania",2382,585,1633,0,101,0,0,63,0,63,40489,969,"Census Tract 1019, Allegheny County, Pennsylvania",332,148,266,11,78,11,11,45,11,45,8363,68
"G4200030110200","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"110200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003110200",,,"Census Tract 1102, Allegheny County, Pennsylvania",4220,3010,729,9,128,0,76,268,1,267,75217,1117,"Census Tract 1102, Allegheny County, Pennsylvania",788,742,240,17,108,11,100,208,4,208,33924,26
"G4200030110600","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"110600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003110600",,,"Census Tract 1106, Allegheny County, Pennsylvania",2356,1944,277,0,80,0,41,14,0,14,84514,935,"Census Tract 1106, Allegheny County, Pennsylvania",304,316,91,11,74,11,35,16,11,16,25259,97
"G4200030111300","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"111300",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003111300",,,"Census Tract 1113, Allegheny County, Pennsylvania",2983,1591,925,0,94,0,62,311,123,188,50926,857,"Census Tract 1113, Allegheny County, Pennsylvania",547,356,332,11,67,11,85,203,138,135,13994,59
"G4200030111400","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"111400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003111400",,,"Census Tract 1114, Allegheny County, Pennsylvania",1339,494,743,0,22,0,12,68,5,63,42321,932,"Census Tract 1114, Allegheny County, Pennsylvania",289,116,284,11,16,11,19,38,8,39,19608,103
"G4200030111500","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"111500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003111500",,,"Census Tract 1115, Allegheny County, Pennsylvania",2758,857,1433,0,434,0,0,34,0,34,29924,925,"Census Tract 1115, Allegheny County, Pennsylvania",372,165,290,11,245,11,11,26,11,26,7752,75
"G4200030120300","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"120300",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003120300",,,"Census Tract 1203, Allegheny County, Pennsylvania",2050,475,1454,0,0,0,19,102,0,102,29688,942,"Census Tract 1203, Allegheny County, Pennsylvania",593,550,419,11,11,11,32,148,11,148,22686,234
"G4200030120900","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"120900",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003120900",,,"Census Tract 1209, Allegheny County, Pennsylvania",1564,204,1221,0,42,1,0,96,0,96,19284,733,"Census Tract 1209, Allegheny County, Pennsylvania",215,110,187,11,46,2,11,108,11,108,4274,360
"G4200030130200","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"130200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003130200",,,"Census Tract 1302, Allegheny County, Pennsylvania",1139,51,1051,0,0,0,0,37,0,37,36845,829,"Census Tract 1302, Allegheny County, Pennsylvania",229,55,228,11,11,11,11,31,11,31,13362,141
"G4200030130600","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"130600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003130600",,,"Census Tract 1306, Allegheny County, Pennsylvania",2777,376,2308,0,0,0,0,93,0,93,20352,313,"Census Tract 1306, Allegheny County, Pennsylvania",634,215,657,11,11,11,11,130,11,130,12580,124
"G4200030130700","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"130700",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003130700",,,"Census Tract 1307, Allegheny County, Pennsylvania",2197,39,2134,13,0,0,0,11,0,11,21250,574,"Census Tract 1307, Allegheny County, Pennsylvania",387,39,383,20,11,11,11,16,11,16,4071,121
"G4200030130800","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"130800",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003130800",,,"Census Tract 1308, Allegheny County, Pennsylvania",1984,95,1741,10,6,0,8,124,0,124,19250,460,"Census Tract 1308, Allegheny County, Pennsylvania",427,55,443,17,10,11,10,109,11,109,3492,186
"G4200030140100","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"140100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003140100",,,"Census Tract 1401, Allegheny County, Pennsylvania",5704,3942,371,27,1189,0,12,163,13,150,109375,1832,"Census Tract 1401, Allegheny County, Pennsylvania",607,439,271,30,310,15,16,69,21,65,71242,264
"G4200030140200","2016-2020","PA",,,"Pennsylvania","42","Allegheny County","003",,,"140200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003140200",,,"Census Tract 1402, Allegheny County, Pennsylvania",2500,1968,18,10,371,0,35,98,14,84,70573,1144,"Census Tract 1402, Allegheny County, Pennsylvania",506,520,27,16,109,11,29,71,15,71,24089,128
