GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMPWE001,AMPWE002,AMPWE003,AMPWE004,AMPWE005,AMPWE006,AMPWE007,AMPWE008,AMPWE009,AMPWE010,AMR8E001,AMVZE001,NAME_M,AMPWM001,AMPWM002,AMPWM003,AMPWM004,AMPWM005,AMPWM006,AMPWM007,AMPWM008,AMPWM009,AMPWM010,AMR8M001,AMVZM001
"G4201010033101","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"033101",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101033101",,,"Census Tract 331.01, Philadelphia County, Pennsylvania",5476,3764,915,0,347,0,195,255,0,255,61477,1043,"Census Tract 331.01, Philadelphia County, Pennsylvania",1200,433,914,15,262,15,136,232,15,232,16582,161
"G4201010033102","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"033102",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101033102",,,"Census Tract 331.02, Philadelphia County, Pennsylvania",3849,2961,298,0,54,0,0,536,213,323,46799,898,"Census Tract 331.02, Philadelphia County, Pennsylvania",574,465,225,11,52,11,11,388,338,191,12782,138
"G4201010033200","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"033200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101033200",,,"Census Tract 332, Philadelphia County, Pennsylvania",2951,1652,131,0,858,0,307,3,3,0,64871,1202,"Census Tract 332, Philadelphia County, Pennsylvania",444,294,87,11,332,11,239,4,4,11,14456,415
"G4201010033300","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"033300",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101033300",,,"Census Tract 333, Philadelphia County, Pennsylvania",3985,2993,505,0,286,0,56,145,11,134,53785,895,"Census Tract 333, Philadelphia County, Pennsylvania",538,485,217,11,197,11,43,112,26,111,13073,92
"G4201010033400","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"033400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101033400",,,"Census Tract 334, Philadelphia County, Pennsylvania",5551,2638,1305,0,1328,0,207,73,0,73,48967,912,"Census Tract 334, Philadelphia County, Pennsylvania",751,474,601,15,385,15,151,60,15,60,12787,143
"G4201010033500","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"033500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101033500",,,"Census Tract 335, Philadelphia County, Pennsylvania",3801,1768,877,0,738,0,273,145,50,95,47932,894,"Census Tract 335, Philadelphia County, Pennsylvania",690,402,513,11,239,11,273,132,75,106,9665,172
"G4201010033600","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"033600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101033600",,,"Census Tract 336, Philadelphia County, Pennsylvania",7028,4184,1489,0,1176,0,154,25,25,0,42988,901,"Census Tract 336, Philadelphia County, Pennsylvania",900,671,823,15,752,15,157,31,31,15,4342,78
"G4201010033701","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"033701",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101033701",,,"Census Tract 337.01, Philadelphia County, Pennsylvania",7661,4554,1541,0,872,0,296,398,164,234,48539,1071,"Census Tract 337.01, Philadelphia County, Pennsylvania",1791,867,1393,15,680,15,409,311,296,258,27551,174
"G4201010033702","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"033702",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101033702",,,"Census Tract 337.02, Philadelphia County, Pennsylvania",4359,2276,394,0,1354,0,335,0,0,0,65572,1048,"Census Tract 337.02, Philadelphia County, Pennsylvania",423,599,229,11,679,11,343,11,11,11,13482,104
"G4201010033800","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"033800",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101033800",,,"Census Tract 338, Philadelphia County, Pennsylvania",6858,5357,395,38,242,0,723,103,15,88,57636,948,"Census Tract 338, Philadelphia County, Pennsylvania",952,885,192,53,93,15,532,101,37,98,13239,42
"G4201010033900","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"033900",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101033900",,,"Census Tract 339, Philadelphia County, Pennsylvania",2893,1740,769,0,235,0,27,122,52,70,51710,870,"Census Tract 339, Philadelphia County, Pennsylvania",462,259,425,11,168,11,31,98,75,61,6289,216
"G4201010034000","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"034000",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101034000",,,"Census Tract 340, Philadelphia County, Pennsylvania",3055,2558,246,0,234,0,17,0,0,0,89181,938,"Census Tract 340, Philadelphia County, Pennsylvania",426,452,178,11,130,11,22,11,11,11,28943,77
"G4201010034100","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"034100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101034100",,,"Census Tract 341, Philadelphia County, Pennsylvania",5310,3995,451,0,498,0,183,183,32,151,63485,981,"Census Tract 341, Philadelphia County, Pennsylvania",849,854,267,15,267,15,166,191,40,177,7185,76
"G4201010034200","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"034200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101034200",,,"Census Tract 342, Philadelphia County, Pennsylvania",3648,2761,690,0,111,0,7,79,71,8,56181,1171,"Census Tract 342, Philadelphia County, Pennsylvania",372,359,238,11,102,11,11,99,99,19,9878,42
"G4201010034400","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"034400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101034400",,,"Census Tract 344, Philadelphia County, Pennsylvania",8083,5688,738,8,1221,0,93,335,101,234,81582,1031,"Census Tract 344, Philadelphia County, Pennsylvania",868,679,511,16,251,15,103,287,109,272,15177,132
"G4201010034501","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"034501",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101034501",,,"Census Tract 345.01, Philadelphia County, Pennsylvania",4852,2895,1036,0,560,0,200,161,0,161,49176,1040,"Census Tract 345.01, Philadelphia County, Pennsylvania",879,758,461,11,250,11,248,182,11,182,18201,64
