GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,JOIE001,JS5E001,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010,JOIM001,JS5M001
"G4200790201200","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"201200",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079201200",,,"Census Tract 2012, Luzerne County, Pennsylvania",2841,2315,297,0,21,0,139,69,8,61,29397,630,"Census Tract 2012, Luzerne County, Pennsylvania",707,540,206,109,36,109,111,53,14,57,7580,64
"G4200790201300","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"201300",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079201300",,,"Census Tract 2013, Luzerne County, Pennsylvania",1804,1788,12,0,0,0,4,0,0,0,36418,648,"Census Tract 2013, Luzerne County, Pennsylvania",155,155,20,109,109,109,7,109,109,109,4324,115
"G4200790201400","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"201400",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079201400",,,"Census Tract 2014, Luzerne County, Pennsylvania",2376,1925,174,0,45,0,192,40,27,13,31118,615,"Census Tract 2014, Luzerne County, Pennsylvania",392,484,177,109,50,109,203,45,42,19,5471,89
"G4200790201500","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"201500",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079201500",,,"Census Tract 2015, Luzerne County, Pennsylvania",2252,2029,164,0,0,0,7,52,44,8,33240,677,"Census Tract 2015, Luzerne County, Pennsylvania",179,218,170,109,109,109,11,65,64,14,3492,149
"G4200790201600","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"201600",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079201600",,,"Census Tract 2016, Luzerne County, Pennsylvania",2702,2633,28,0,0,0,4,37,0,37,31452,607,"Census Tract 2016, Luzerne County, Pennsylvania",211,202,34,109,109,109,8,60,109,60,9419,118
"G4200790210100","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"210100",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079210100",,,"Census Tract 2101, Luzerne County, Pennsylvania",3364,3342,22,0,0,0,0,0,0,0,54112,538,"Census Tract 2101, Luzerne County, Pennsylvania",18,32,26,109,109,109,109,109,109,109,8135,284
"G4200790210200","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"210200",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079210200",,,"Census Tract 2102, Luzerne County, Pennsylvania",2704,2638,0,0,0,0,0,66,0,66,45996,597,"Census Tract 2102, Luzerne County, Pennsylvania",27,83,109,109,109,109,109,79,109,79,8408,263
"G4200790210300","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"210300",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079210300",,,"Census Tract 2103, Luzerne County, Pennsylvania",2677,2677,0,0,0,0,0,0,0,0,45094,546,"Census Tract 2103, Luzerne County, Pennsylvania",17,17,109,109,109,109,109,109,109,109,3323,91
"G4200790210400","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"210400",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079210400",,,"Census Tract 2104, Luzerne County, Pennsylvania",1330,1301,0,0,0,0,12,17,0,17,52298,592,"Census Tract 2104, Luzerne County, Pennsylvania",100,95,109,109,109,109,17,18,109,18,3211,200
"G4200790210500","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"210500",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079210500",,,"Census Tract 2105, Luzerne County, Pennsylvania",4844,4581,0,19,100,0,0,144,0,144,45114,557,"Census Tract 2105, Luzerne County, Pennsylvania",23,162,109,29,70,109,109,112,109,112,7295,38
