GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,JOIE001,JS5E001,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010,JOIM001,JS5M001
"G4200010030101","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030101",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030101",,,"Census Tract 301.01, Adams County, Pennsylvania",2597,2497,23,0,0,0,69,8,0,8,70729,807,"Census Tract 301.01, Adams County, Pennsylvania",18,92,40,109,109,109,89,12,109,12,11768,447
"G4200010030102","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030102",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030102",,,"Census Tract 301.02, Adams County, Pennsylvania",5709,5393,40,0,0,0,267,9,0,9,62372,720,"Census Tract 301.02, Adams County, Pennsylvania",29,199,63,109,109,109,187,14,109,14,5307,228
"G4200010030200","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030200",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030200",,,"Census Tract 302, Adams County, Pennsylvania",5656,5051,70,0,10,0,392,133,41,92,52424,720,"Census Tract 302, Adams County, Pennsylvania",241,278,58,109,16,109,140,84,48,72,2920,48
"G4200010030300","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030300",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030300",,,"Census Tract 303, Adams County, Pennsylvania",3932,3609,52,0,12,0,259,0,0,0,52731,734,"Census Tract 303, Adams County, Pennsylvania",139,243,67,109,20,109,196,109,109,109,6518,115
"G4200010030400","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030400",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030400",,,"Census Tract 304, Adams County, Pennsylvania",5661,5152,103,0,71,0,273,62,0,62,57194,638,"Census Tract 304, Adams County, Pennsylvania",211,297,115,109,83,109,146,63,109,63,4899,134
"G4200010030500","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030500",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030500",,,"Census Tract 305, Adams County, Pennsylvania",3676,3224,46,0,16,0,326,64,0,64,52039,705,"Census Tract 305, Adams County, Pennsylvania",155,193,38,109,14,109,184,50,109,50,8935,115
"G4200010030600","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030600",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030600",,,"Census Tract 306, Adams County, Pennsylvania",4917,4161,40,0,23,0,641,52,0,52,60964,797,"Census Tract 306, Adams County, Pennsylvania",18,313,44,109,26,109,304,65,109,65,2889,68
"G4200010030700","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030700",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030700",,,"Census Tract 307, Adams County, Pennsylvania",6647,6340,28,0,65,0,100,114,10,104,49135,745,"Census Tract 307, Adams County, Pennsylvania",280,289,28,109,79,109,116,105,10,105,6290,130
"G4200010030800","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030800",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030800",,,"Census Tract 308, Adams County, Pennsylvania",7315,6760,142,0,210,11,82,110,10,100,56649,729,"Census Tract 308, Adams County, Pennsylvania",319,287,129,109,195,19,114,53,16,49,2897,101
"G4200010030900","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"030900",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001030900",,,"Census Tract 309, Adams County, Pennsylvania",7223,6664,52,0,28,0,430,49,49,0,48582,755,"Census Tract 309, Adams County, Pennsylvania",221,438,66,109,37,109,247,57,57,109,4453,127
"G4200010031000","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"031000",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031000",,,"Census Tract 310, Adams County, Pennsylvania",1623,1623,0,0,0,0,0,0,0,0,58994,822,"Census Tract 310, Adams County, Pennsylvania",138,138,109,109,109,109,109,109,109,109,5069,280
"G4200010031101","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"031101",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031101",,,"Census Tract 311.01, Adams County, Pennsylvania",5297,5240,0,0,22,0,35,0,0,0,43658,751,"Census Tract 311.01, Adams County, Pennsylvania",228,230,109,109,33,109,58,109,109,109,6474,50
"G4200010031102","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"031102",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031102",,,"Census Tract 311.02, Adams County, Pennsylvania",3024,3001,0,0,0,0,10,13,0,13,74141,878,"Census Tract 311.02, Adams County, Pennsylvania",178,176,109,109,109,109,16,21,109,21,8035,694
"G4200010031201","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"031201",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031201",,,"Census Tract 312.01, Adams County, Pennsylvania",3632,3582,0,0,42,0,0,8,0,8,61630,833,"Census Tract 312.01, Adams County, Pennsylvania",17,60,109,109,54,109,109,13,109,13,12236,52
"G4200010031202","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"031202",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031202",,,"Census Tract 312.02, Adams County, Pennsylvania",2653,2631,0,0,22,0,0,0,0,0,72667,650,"Census Tract 312.02, Adams County, Pennsylvania",29,39,109,109,24,109,109,109,109,109,4593,117
"G4200010031203","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"031203",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031203",,,"Census Tract 312.03, Adams County, Pennsylvania",3143,3042,0,25,46,0,0,30,0,30,66563,864,"Census Tract 312.03, Adams County, Pennsylvania",23,81,109,41,45,109,109,31,109,31,8573,384
"G4200010031300","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"031300",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031300",,,"Census Tract 313, Adams County, Pennsylvania",4428,4233,57,61,26,0,15,36,0,36,50568,726,"Census Tract 313, Adams County, Pennsylvania",41,125,59,64,31,109,23,44,109,44,6848,28
"G4200010031401","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"031401",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031401",,,"Census Tract 314.01, Adams County, Pennsylvania",4107,3713,165,0,0,0,50,179,121,58,56776,680,"Census Tract 314.01, Adams County, Pennsylvania",299,368,103,109,109,109,44,142,131,57,9591,55
"G4200010031402","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"031402",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031402",,,"Census Tract 314.02, Adams County, Pennsylvania",2038,1950,29,0,0,0,0,59,0,59,54545,911,"Census Tract 314.02, Adams County, Pennsylvania",299,290,43,109,109,109,109,64,109,64,14840,165
"G4200010031501","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"031501",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031501",,,"Census Tract 315.01, Adams County, Pennsylvania",3447,2988,257,0,48,0,50,104,0,104,40833,538,"Census Tract 315.01, Adams County, Pennsylvania",551,464,270,109,38,109,62,86,109,86,23131,313
"G4200010031502","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"031502",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031502",,,"Census Tract 315.02, Adams County, Pennsylvania",4246,3541,244,0,16,0,218,227,0,227,41726,671,"Census Tract 315.02, Adams County, Pennsylvania",549,531,142,109,25,109,248,155,109,155,12235,43
"G4200010031600","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"031600",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031600",,,"Census Tract 316, Adams County, Pennsylvania",6903,6727,79,11,29,0,32,25,0,25,72159,886,"Census Tract 316, Adams County, Pennsylvania",254,243,62,16,38,109,29,22,109,22,3174,225
"G4200010031700","2006-2010","PA",,,"Pennsylvania","42","Adams County","001",,,"031700",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42001031700",,,"Census Tract 317, Adams County, Pennsylvania",2965,2783,91,9,30,0,26,26,0,26,54338,749,"Census Tract 317, Adams County, Pennsylvania",211,222,73,16,38,109,30,25,109,25,5247,185
"G4200030010300","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003010300",,,"Census Tract 103, Allegheny County, Pennsylvania",4512,3511,670,55,69,0,14,193,14,179,11125,853,"Census Tract 103, Allegheny County, Pennsylvania",1130,642,638,88,52,109,23,135,24,133,4814,75
"G4200030020100","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"020100",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003020100",,,"Census Tract 201, Allegheny County, Pennsylvania",5325,2760,1943,0,304,9,116,193,0,193,41795,981,"Census Tract 201, Allegheny County, Pennsylvania",501,271,298,109,184,15,122,70,109,70,8189,83
"G4200030020300","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"020300",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003020300",,,"Census Tract 203, Allegheny County, Pennsylvania",504,291,115,0,21,0,77,0,0,0,61442,1405,"Census Tract 203, Allegheny County, Pennsylvania",175,119,101,109,26,109,116,109,109,109,6937,105
"G4200030030500","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"030500",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003030500",,,"Census Tract 305, Allegheny County, Pennsylvania",2308,369,1884,0,0,0,0,55,0,55,14626,502,"Census Tract 305, Allegheny County, Pennsylvania",333,178,320,109,109,109,109,83,109,83,2328,110
"G4200030040200","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"040200",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003040200",,,"Census Tract 402, Allegheny County, Pennsylvania",2435,914,1265,0,156,0,14,86,0,86,23233,709,"Census Tract 402, Allegheny County, Pennsylvania",621,377,311,109,88,109,22,68,109,68,7981,181
"G4200030040400","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"040400",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003040400",,,"Census Tract 404, Allegheny County, Pennsylvania",2004,1280,16,0,706,0,0,2,0,2,20406,931,"Census Tract 404, Allegheny County, Pennsylvania",305,193,23,109,295,109,109,3,109,3,7309,132
"G4200030040500","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"040500",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003040500",,,"Census Tract 405, Allegheny County, Pennsylvania",2739,2177,168,0,299,0,0,95,15,80,14473,842,"Census Tract 405, Allegheny County, Pennsylvania",492,417,93,109,127,109,109,64,24,54,3310,41
"G4200030040600","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"040600",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003040600",,,"Census Tract 406, Allegheny County, Pennsylvania",2211,1738,327,0,120,0,26,0,0,0,19730,820,"Census Tract 406, Allegheny County, Pennsylvania",355,322,219,109,80,109,42,109,109,109,2770,100
"G4200030040900","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"040900",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003040900",,,"Census Tract 409, Allegheny County, Pennsylvania",2643,2001,557,0,51,0,0,34,10,24,26725,827,"Census Tract 409, Allegheny County, Pennsylvania",385,370,225,109,52,109,109,26,16,22,3968,67
"G4200030050100","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"050100",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003050100",,,"Census Tract 501, Allegheny County, Pennsylvania",1541,35,1474,0,8,0,0,24,0,24,23500,373,"Census Tract 501, Allegheny County, Pennsylvania",282,46,268,109,14,109,109,28,109,28,5073,144
"G4200030050600","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"050600",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003050600",,,"Census Tract 506, Allegheny County, Pennsylvania",2135,305,1688,0,118,0,6,18,0,18,35290,666,"Census Tract 506, Allegheny County, Pennsylvania",266,179,320,109,139,109,12,23,109,23,11812,284
"G4200030050900","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"050900",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003050900",,,"Census Tract 509, Allegheny County, Pennsylvania",988,16,972,0,0,0,0,0,0,0,14539,318,"Census Tract 509, Allegheny County, Pennsylvania",163,19,166,109,109,109,109,109,109,109,8385,94
"G4200030051000","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"051000",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003051000",,,"Census Tract 510, Allegheny County, Pennsylvania",2321,1116,1092,0,73,0,0,40,0,40,12818,402,"Census Tract 510, Allegheny County, Pennsylvania",564,473,160,109,70,109,109,39,109,39,4122,87
"G4200030051100","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"051100",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003051100",,,"Census Tract 511, Allegheny County, Pennsylvania",984,189,785,0,0,0,10,0,0,0,10902,282,"Census Tract 511, Allegheny County, Pennsylvania",168,237,145,109,109,109,16,109,109,109,5172,113
"G4200030060300","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"060300",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003060300",,,"Census Tract 603, Allegheny County, Pennsylvania",2591,2054,423,11,0,0,46,57,0,57,25194,649,"Census Tract 603, Allegheny County, Pennsylvania",439,529,162,16,109,109,61,51,109,51,6962,61
"G4200030060500","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"060500",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003060500",,,"Census Tract 605, Allegheny County, Pennsylvania",1332,1226,52,0,0,0,0,54,0,54,32875,503,"Census Tract 605, Allegheny County, Pennsylvania",323,330,83,109,109,109,109,54,109,54,11934,57
"G4200030070300","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"070300",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003070300",,,"Census Tract 703, Allegheny County, Pennsylvania",2272,1834,155,0,238,0,0,45,0,45,57396,1028,"Census Tract 703, Allegheny County, Pennsylvania",264,268,105,109,101,109,109,57,109,57,25356,89
"G4200030070500","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"070500",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003070500",,,"Census Tract 705, Allegheny County, Pennsylvania",3197,2660,61,0,369,0,23,84,0,84,48521,846,"Census Tract 705, Allegheny County, Pennsylvania",227,293,49,109,175,109,35,79,109,79,7675,56
"G4200030070600","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"070600",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003070600",,,"Census Tract 706, Allegheny County, Pennsylvania",1979,1565,147,0,172,0,0,95,0,95,42344,918,"Census Tract 706, Allegheny County, Pennsylvania",140,160,109,109,108,109,109,100,109,100,10440,95
"G4200030070800","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"070800",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003070800",,,"Census Tract 708, Allegheny County, Pennsylvania",1946,1253,241,0,376,0,28,48,8,40,48333,997,"Census Tract 708, Allegheny County, Pennsylvania",257,184,141,109,204,109,43,67,15,65,8812,104
"G4200030070900","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"070900",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003070900",,,"Census Tract 709, Allegheny County, Pennsylvania",4587,2471,374,38,1440,0,196,68,0,68,37128,747,"Census Tract 709, Allegheny County, Pennsylvania",430,388,164,55,380,109,156,73,109,73,8682,65
"G4200030080200","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"080200",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003080200",,,"Census Tract 802, Allegheny County, Pennsylvania",1723,1602,108,0,13,0,0,0,0,0,36200,716,"Census Tract 802, Allegheny County, Pennsylvania",296,307,102,109,20,109,109,109,109,109,2789,74
"G4200030080400","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"080400",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003080400",,,"Census Tract 804, Allegheny County, Pennsylvania",1419,1262,62,0,80,0,5,10,0,10,37321,642,"Census Tract 804, Allegheny County, Pennsylvania",165,170,67,109,61,109,11,16,109,16,13279,61
"G4200030080600","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"080600",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003080600",,,"Census Tract 806, Allegheny County, Pennsylvania",2253,1781,196,7,249,0,8,12,0,12,39330,703,"Census Tract 806, Allegheny County, Pennsylvania",363,331,108,13,218,109,17,17,109,17,6450,65
"G4200030080700","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"080700",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003080700",,,"Census Tract 807, Allegheny County, Pennsylvania",1412,929,250,0,164,0,0,69,0,69,22252,609,"Census Tract 807, Allegheny County, Pennsylvania",202,205,149,109,97,109,109,55,109,55,11517,42
"G4200030080900","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"080900",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003080900",,,"Census Tract 809, Allegheny County, Pennsylvania",1864,1510,224,0,64,0,20,46,2,44,34815,660,"Census Tract 809, Allegheny County, Pennsylvania",238,242,132,109,53,109,28,63,9,62,6058,91
"G4200030090100","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"090100",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003090100",,,"Census Tract 901, Allegheny County, Pennsylvania",1758,1328,401,0,0,0,0,29,0,29,24840,626,"Census Tract 901, Allegheny County, Pennsylvania",224,262,196,109,109,109,109,33,109,33,7661,59
"G4200030090200","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"090200",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003090200",,,"Census Tract 902, Allegheny County, Pennsylvania",2796,2346,200,0,28,0,16,206,0,206,36315,645,"Census Tract 902, Allegheny County, Pennsylvania",273,312,109,109,35,109,25,187,109,187,5962,107
"G4200030090300","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"090300",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003090300",,,"Census Tract 903, Allegheny County, Pennsylvania",1744,1432,200,0,10,0,29,73,0,73,20978,666,"Census Tract 903, Allegheny County, Pennsylvania",256,209,185,109,17,109,46,78,109,78,4856,94
"G4200030100500","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"100500",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003100500",,,"Census Tract 1005, Allegheny County, Pennsylvania",2057,536,1317,0,0,0,0,204,0,204,49044,843,"Census Tract 1005, Allegheny County, Pennsylvania",219,116,129,109,109,109,109,234,109,234,7588,49
"G4200030101100","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"101100",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003101100",,,"Census Tract 1011, Allegheny County, Pennsylvania",2522,1776,689,11,46,0,0,0,0,0,32125,575,"Census Tract 1011, Allegheny County, Pennsylvania",369,225,269,20,63,109,109,109,109,109,9211,205
"G4200030101400","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003101400",,,"Census Tract 1014, Allegheny County, Pennsylvania",3699,3092,589,0,18,0,0,0,0,0,43600,709,"Census Tract 1014, Allegheny County, Pennsylvania",289,272,236,109,21,109,109,109,109,109,12524,73
"G4200030101600","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"101600",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003101600",,,"Census Tract 1016, Allegheny County, Pennsylvania",945,53,866,0,0,26,0,0,0,0,24250,661,"Census Tract 1016, Allegheny County, Pennsylvania",291,51,268,109,109,38,109,109,109,109,20305,600
"G4200030101700","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"101700",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003101700",,,"Census Tract 1017, Allegheny County, Pennsylvania",1471,220,1043,0,74,0,0,134,0,134,24878,784,"Census Tract 1017, Allegheny County, Pennsylvania",251,109,254,109,90,109,109,147,109,147,13674,122
"G4200030101800","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"101800",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003101800",,,"Census Tract 1018, Allegheny County, Pennsylvania",2851,2167,590,0,46,0,14,34,12,22,53750,784,"Census Tract 1018, Allegheny County, Pennsylvania",239,196,171,109,46,109,17,31,18,26,7752,209
"G4200030110200","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"110200",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003110200",,,"Census Tract 1102, Allegheny County, Pennsylvania",3771,2317,1116,0,168,0,59,111,7,104,46722,714,"Census Tract 1102, Allegheny County, Pennsylvania",479,334,403,109,154,109,53,86,11,86,7735,99
"G4200030110600","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"110600",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003110600",,,"Census Tract 1106, Allegheny County, Pennsylvania",2643,1590,848,0,9,0,24,172,5,167,81450,680,"Census Tract 1106, Allegheny County, Pennsylvania",320,195,202,109,16,109,39,178,12,179,19537,67
"G4200030111300","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"111300",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003111300",,,"Census Tract 1113, Allegheny County, Pennsylvania",2882,645,2070,9,62,0,20,76,0,76,28641,630,"Census Tract 1113, Allegheny County, Pennsylvania",459,171,427,15,69,109,22,69,109,69,2032,56
"G4200030111400","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"111400",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003111400",,,"Census Tract 1114, Allegheny County, Pennsylvania",1574,31,1481,0,0,0,44,18,18,0,18885,586,"Census Tract 1114, Allegheny County, Pennsylvania",335,41,345,109,109,109,75,31,31,109,4362,138
"G4200030111500","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"111500",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003111500",,,"Census Tract 1115, Allegheny County, Pennsylvania",3206,883,1616,0,530,36,0,141,0,141,19136,637,"Census Tract 1115, Allegheny County, Pennsylvania",469,222,348,109,376,56,109,177,109,177,3506,67
"G4200030120300","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"120300",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003120300",,,"Census Tract 1203, Allegheny County, Pennsylvania",1777,166,1568,0,0,0,0,43,0,43,42633,761,"Census Tract 1203, Allegheny County, Pennsylvania",336,151,326,109,109,109,109,48,109,48,20115,145
"G4200030120400","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"120400",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003120400",,,"Census Tract 1204, Allegheny County, Pennsylvania",695,48,483,0,71,0,22,71,47,24,22188,668,"Census Tract 1204, Allegheny County, Pennsylvania",137,52,126,109,32,109,27,66,54,37,10147,97
"G4200030120700","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"120700",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003120700",,,"Census Tract 1207, Allegheny County, Pennsylvania",980,109,871,0,0,0,0,0,0,0,14900,431,"Census Tract 1207, Allegheny County, Pennsylvania",245,120,249,109,109,109,109,109,109,109,14184,99
"G4200030120800","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"120800",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003120800",,,"Census Tract 1208, Allegheny County, Pennsylvania",947,79,840,0,0,0,0,28,0,28,30670,461,"Census Tract 1208, Allegheny County, Pennsylvania",209,67,206,109,109,109,109,45,109,45,5569,329
"G4200030130100","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"130100",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003130100",,,"Census Tract 1301, Allegheny County, Pennsylvania",1917,0,1879,0,0,0,0,38,0,38,20000,703,"Census Tract 1301, Allegheny County, Pennsylvania",244,109,252,109,109,109,109,49,109,49,6422,98
"G4200030130200","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"130200",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003130200",,,"Census Tract 1302, Allegheny County, Pennsylvania",1156,0,1126,0,30,0,0,0,0,0,35179,663,"Census Tract 1302, Allegheny County, Pennsylvania",235,109,225,109,46,109,109,109,109,109,18158,425
"G4200030130300","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"130300",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003130300",,,"Census Tract 1303, Allegheny County, Pennsylvania",874,0,772,0,0,0,0,102,0,102,17538,339,"Census Tract 1303, Allegheny County, Pennsylvania",253,109,261,109,109,109,109,64,109,64,13633,77
"G4200030130400","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"130400",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003130400",,,"Census Tract 1304, Allegheny County, Pennsylvania",1238,0,1183,0,11,0,0,44,0,44,27630,550,"Census Tract 1304, Allegheny County, Pennsylvania",279,109,289,109,17,109,109,55,109,55,4343,256
"G4200030130600","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"130600",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003130600",,,"Census Tract 1306, Allegheny County, Pennsylvania",2988,99,2775,8,10,0,32,64,0,64,22679,592,"Census Tract 1306, Allegheny County, Pennsylvania",365,94,387,13,16,109,50,45,109,45,6105,221
"G4200030140100","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"140100",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003140100",,,"Census Tract 1401, Allegheny County, Pennsylvania",6316,4414,236,61,1244,41,89,231,0,231,107321,1615,"Census Tract 1401, Allegheny County, Pennsylvania",681,584,111,95,347,67,68,133,109,133,27099,1451
"G4200030140200","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"140200",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003140200",,,"Census Tract 1402, Allegheny County, Pennsylvania",2637,1795,280,5,402,0,101,54,0,54,45819,788,"Census Tract 1402, Allegheny County, Pennsylvania",265,216,146,8,217,109,131,58,109,58,7693,41
"G4200030140300","2006-2010","PA",,,"Pennsylvania","42","Allegheny County","003",,,"140300",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42003140300",,,"Census Tract 1403, Allegheny County, Pennsylvania",3524,3185,135,0,130,0,7,67,0,67,81851,1236,"Census Tract 1403, Allegheny County, Pennsylvania",294,276,106,109,98,109,12,56,109,56,10090,124
